sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,2,128,cpu,0,ba02110def833f457b3a8777ae6d50a361ddb2e61fac2908a27aaf982f6c9024,2.35500276699986,0.2609088129997872,"[0.00012419600034263567, 0.00013945799992143293, 0.0001143699996646319, 9.656200018071104e-05, 9.588000011717668e-05, 0.00010409300011815503, 9.539500024402514e-05, 9.391999992658384e-05, 9.324399979959708e-05, 9.316800014858018e-05]",9.622100014894386e-05,9.428875000594417e-05,0.00011180074977801269
sobol,normal,2,128,gpu,1,ba02110def833f457b3a8777ae6d50a361ddb2e61fac2908a27aaf982f6c9024,2.35500276699986,0.5641252460000032,"[0.0007153779997679521, 0.0007437409999511146, 0.0008510220000061963, 0.0006513759999506874, 0.0006143589998828247, 0.0006135600001471175, 0.0005986370001664909, 0.0005944380000073579, 0.000602360999891971, 0.000577437000174541]",0.0006139595000149711,0.0005995680000978609,0.000699377499813636
sobol,normal,2,256,gpu,0,abcdcfddae54634377017e4cd9590d33d5d451cb39f408c3453e0833fc46bc62,0.9622168569999303,0.48910461700006636,"[0.0005599770001936122, 0.0005990330000713584, 0.0005474129998219723, 0.0005603399999927205, 0.0005337109996617073, 0.0005515510001714574, 0.0005266699999992852, 0.0005441260000225157, 0.0005233730003055825, 0.0005555740003728715]",0.0005494819999967149,0.0005363147497519094,0.000558876250238427
sobol,normal,2,256,cpu,1,abcdcfddae54634377017e4cd9590d33d5d451cb39f408c3453e0833fc46bc62,0.9622168569999303,0.2308112800001254,"[0.0001774150000528607, 0.00015993899978639092, 0.0001748080003380892, 0.00015621000011378783, 0.000148034000176267, 0.0001543950002087513, 0.00014608199990107096, 0.0001453869999750168, 0.00014513799987980747, 0.00016112000002976856]",0.00015530250016126956,0.00014656999996986997,0.00016082474996892415
sobol,normal,2,512,cpu,0,2e076ca292e495972119f2d9b1bbb477678250a20caf80aa2f6d4f8e8e5cc12d,0.9773688029999903,0.2339777239999421,"[0.0002920530000665167, 0.00028993699970669695, 0.0002922460002992011, 0.00028067899984307587, 0.0002855559996532975, 0.0002787270000226272, 0.0002849249999599124, 0.00027637899984256364, 0.0002800540000862384, 0.00028418699957910576]",0.00028455599976950907,0.00028021025002544775,0.0002888417496933471
sobol,normal,2,512,gpu,1,2e076ca292e495972119f2d9b1bbb477678250a20caf80aa2f6d4f8e8e5cc12d,0.9773688029999903,0.5371257020001394,"[0.0005676730002051045, 0.0005395170001065708, 0.0005558279999604565, 0.0005432480002127704, 0.0005525699998543132, 0.0005320540003594942, 0.0005639330001940834, 0.0005315009998412279, 0.000543896000181121, 0.0005484129997057607]",0.0005461544999434409,0.0005404497501331207,0.0005550134999339207
sobol,normal,2,2048,gpu,0,567a13886a50fbd70bf894c5d16388e5098e875a41edcb79b65917b8fc48c2ad,0.9994409300002189,0.7136412410000048,"[0.0006125239997345489, 0.0006274890001805034, 0.0006293350002124498, 0.0006195250002747343, 0.0006132869998509705, 0.0005900500000279862, 0.0005772299996351649, 0.0006032500000401342, 0.0005900969999856898, 0.0005945520001660043]",0.0006078869998873415,0.0005912107500307684,0.0006179655001687934
sobol,normal,2,2048,cpu,1,567a13886a50fbd70bf894c5d16388e5098e875a41edcb79b65917b8fc48c2ad,0.9994409300002189,0.29332656199994744,"[0.001594115999978385, 0.0015556230000584037, 0.001569515000028332, 0.001549960999909672, 0.0014789749998271873, 0.0015254900004038063, 0.00156251099997462, 0.0015500210001846426, 0.0014780000001337612, 0.0015206480002234457]",0.0015499910000471573,0.0015218585002685359,0.001560788999995566
sobol,normal,2,8192,cpu,0,21eebed97d70822de6791e97a9d67092cbe307b73b1ced2d4a874f7daab3347e,1.1502382880003097,0.2896219869999186,"[0.0050395399998706125, 0.004835050000110641, 0.005050786000083463, 0.005036204000134603, 0.004857728999922983, 0.0048731679999036714, 0.004806755000117846, 0.005191721000301186, 0.005008271999940916, 0.005215504999796394]",0.00502223800003776,0.004861588749918155,0.00504797450003025
sobol,normal,2,8192,gpu,1,21eebed97d70822de6791e97a9d67092cbe307b73b1ced2d4a874f7daab3347e,1.1502382880003097,0.8158042209997802,"[0.0007263070001499727, 0.0007419789999403292, 0.0007602079999742273, 0.0007427919999827282, 0.0007376389999080857, 0.0007425429998875188, 0.0007381509999504487, 0.0007418059999508841, 0.000731487999928504, 0.0007123199998204655]",0.0007399784999506664,0.0007330257499233994,0.0007424019999007214
