dimension,budget_seconds,backend,status,n,median_seconds,q75_seconds,selection_rmse,validation_rmse,validation_ci95,measured_fraction_within_budget
2,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
2,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
2,0.05,cpu,selected,128,0.03434113699995578,0.03453772074988137,0.1130675753734897,0.13007515406376371,"[0.12273537218071016, 0.13759683092610336]",1.0
2,0.05,gpu,selected,512,0.04795844000022953,0.051358396000296125,0.04881146273830523,0.06300644020632246,"[0.054636734918704785, 0.07118830296378387]",0.5
2,0.1,cpu,selected,256,0.06435221700007787,0.06452476475010371,0.08633001082022813,0.09013960707123002,"[0.0820165008701638, 0.09795447686110907]",1.0
2,0.1,gpu,selected,2048,0.06938587399986318,0.06965436525001678,0.022213897390964892,0.02418054059359805,"[0.020228266343964012, 0.029009546975964254]",1.0
5,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
5,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
5,0.05,cpu,selected,256,0.049891276000153084,0.051060912500020095,0.24653679560534467,0.2536174674203268,"[0.2441950713352889, 0.264466436167064]",0.7
5,0.05,gpu,selected,2048,0.04711836299975403,0.04719308425012514,0.11301838953594265,0.10313637346676585,"[0.09633812739364145, 0.11149208288555389]",0.9
5,0.1,cpu,selected,512,0.09190596899998127,0.09199841800000286,0.19011206316857107,0.19570441190543092,"[0.18875972187017698, 0.20256783442150803]",1.0
5,0.1,gpu,selected,2048,0.04711836299975403,0.04719308425012514,0.11301838953594265,0.10313637346676585,"[0.09633812739364145, 0.11149208288555389]",1.0
10,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
10,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
10,0.05,cpu,selected,128,0.029017509499908556,0.029931107999914275,0.7220247819923548,0.7365986881520519,"[0.7232031797755989, 0.7500317229706709]",1.0
10,0.05,gpu,selected,2048,0.0403178554997794,0.04491761450003651,0.29749849057275585,0.29818962725691467,"[0.2918485327308549, 0.3047192792768512]",1.0
10,0.1,cpu,selected,256,0.05372327650002262,0.053997148749999724,0.576437622240384,0.5816067111445262,"[0.5683722689309927, 0.5925204438123484]",1.0
10,0.1,gpu,selected,2048,0.0403178554997794,0.04491761450003651,0.29749849057275585,0.29818962725691467,"[0.2918485327308549, 0.3047192792768512]",1.0
30,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
30,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
30,0.05,cpu,selected,128,0.0389266460001636,0.03910336149988325,1.5369784650646985,1.5709026333370244,"[1.5438605186857872, 1.6007737337443537]",1.0
30,0.05,gpu,selected,2048,0.034987337000529806,0.03500969724973402,1.064557272601128,1.031287114485816,"[1.016805916224632, 1.0467408141632166]",1.0
30,0.1,cpu,selected,256,0.0684294789998603,0.06871731949968307,1.3954852257643622,1.386782425346532,"[1.3643464291255922, 1.410107912590709]",1.0
30,0.1,gpu,selected,2048,0.034987337000529806,0.03500969724973402,1.064557272601128,1.031287114485816,"[1.016805916224632, 1.0467408141632166]",1.0
60,0.01,cpu,no_measured_configuration_within_budget,,,,,,,
60,0.01,gpu,no_measured_configuration_within_budget,,,,,,,
60,0.05,cpu,no_measured_configuration_within_budget,,,,,,,
60,0.05,gpu,selected,2048,0.03247813349980788,0.03254161500012742,1.7880993358602306,1.791981127781043,"[1.7739622235089323, 1.810532748008791]",1.0
60,0.1,cpu,selected,128,0.06421571550026783,0.06535288725058308,2.4443096606576007,2.4607890258072707,"[2.4179819521432977, 2.5046697038716683]",1.0
60,0.1,gpu,selected,2048,0.03247813349980788,0.03254161500012742,1.7880993358602306,1.791981127781043,"[1.7739622235089323, 1.810532748008791]",1.0
