method,epoch,train_logz,test_logz
ekf,1,-16796.772155411963,-1101.7568551550212
ekf,2,-16738.35935184765,-1098.646685086369
ekf,3,-16681.195575529084,-1095.6129576461535
ekf,4,-16625.17100687544,-1092.4151227086768
ekf,5,-16570.355864722147,-1089.1410565648257
ekf,6,-16516.99419442836,-1085.9076522365904
ekf,7,-16465.228292564065,-1082.8121072614485
ekf,8,-16415.07654459176,-1079.9238656008893
ekf,9,-16366.5806186489,-1077.244080163984
ekf,10,-16319.847144117683,-1074.7354935271778
ekf,11,-16274.964352792833,-1072.350962723338
ekf,12,-16231.957002727293,-1070.043393909502
ekf,13,-16190.816977148355,-1067.7870358516338
ekf,14,-16151.554233345267,-1065.5881572237613
ekf,15,-16114.192877451826,-1063.4718200562584
ekf,16,-16078.739238176713,-1061.4679231825467
ekf,17,-16045.168241957346,-1059.6011167449888
ekf,18,-16013.439554308825,-1057.8814631281784
ekf,19,-15983.519046130596,-1056.3023373697524
ekf,20,-15955.378853626493,-1054.8463257534258
ekf,21,-15928.984680592097,-1053.4918469874756
ekf,22,-15904.289008883183,-1052.2185453112888
ekf,23,-15881.235713486478,-1051.0123249244443
ekf,24,-15859.768924498128,-1049.8680365319215
ekf,25,-15839.836422711032,-1048.7880432820675
ekf,26,-15821.38671147643,-1047.7784735481564
ekf,27,-15804.365379269871,-1046.845644737179
ekf,28,-15788.714506852073,-1045.9935583785955
ekf,29,-15774.3747263576,-1045.2226412786404
ekf,30,-15761.287458972716,-1044.5297946051123
ekf,31,-15749.39561545324,-1043.9094177826355
ekf,32,-15738.642971402156,-1043.3547473950293
ekf,33,-15728.973314906356,-1042.858998483227
ekf,34,-15720.33005922991,-1042.416119945232
ekf,35,-15712.656337196117,-1042.0211608599711
ekf,36,-15705.89527052411,-1041.6703050531287
ekf,37,-15699.990144836209,-1041.3606659943598
ekf,38,-15694.884403379363,-1041.0899611137702
ekf,39,-15690.52151356365,-1040.8561794850466
ekf,40,-15686.844797029276,-1040.6573182711181
ekf,41,-15683.797282284393,-1040.491215709144
ekf,42,-15681.321596540132,-1040.3554733513993
ekf,43,-15679.359889730224,-1040.2474436388638
ekf,44,-15677.853779562207,-1040.164256198579
ekf,45,-15676.74431164459,-1040.10286092585
ekf,46,-15675.971934878435,-1040.0600730207007
ekf,47,-15675.47649592608,-1040.032611889008
ekf,48,-15675.197257629303,-1040.017130966311
ekf,49,-15675.072945852224,-1040.0102388212017
ekf,50,-15675.041828342091,-1040.0085136151356
sqmc,1,-15278.691550108786,-1019.37777079027
sqmc,2,-15160.699550840958,-1044.8395342459025
sqmc,3,-15210.808423063745,-1008.0105532717807
sqmc,4,-15199.374489445738,-1025.9271926658093
sqmc,5,-15243.99211384539,-1010.7276034279621
sqmc,6,-15152.55096374858,-1016.503819281219
sqmc,7,-15165.636680557136,-1036.463680040495
sqmc,8,-15164.337105282606,-1009.3059941434985
sqmc,9,-15152.70117285926,-1001.9172835130466
sqmc,10,-15050.977668010732,-1016.2718159300475
sqmc,11,-15029.503280412615,-1001.9743483894454
sqmc,12,-15026.252653789696,-974.3898189335287
sqmc,13,-14911.292489504323,-1033.0270613346056
sqmc,14,-14876.677441399544,-997.2256965952711
sqmc,15,-14815.714253425826,-981.1930273380876
sqmc,16,-14923.319353805962,-1003.9933138993074
sqmc,17,-14873.909095772664,-994.0485965944044
sqmc,18,-14896.818974691012,-981.6795286279048
sqmc,19,-14901.517117844036,-982.5602789786535
sqmc,20,-14755.644894706791,-1005.6998167023685
sqmc,21,-14809.328703463087,-990.8197901937965
sqmc,22,-14717.943445491926,-997.7953459729815
sqmc,23,-14742.390281823395,-1011.2526927740018
sqmc,24,-14714.373080974965,-980.2417198640142
sqmc,25,-14696.054455235115,-1011.342519660222
sqmc,26,-14708.915635137182,-975.8198355662844
sqmc,27,-14754.721470036391,-1017.071992261026
sqmc,28,-14722.280539397445,-999.4675410828095
sqmc,29,-14662.198246314401,-993.5193278806037
sqmc,30,-14628.558257716888,-978.3735354653672
sqmc,31,-14719.582735989477,-995.0202414362793
sqmc,32,-14687.3707153976,-995.9593142672966
sqmc,33,-14780.442269180354,-978.9807420014295
sqmc,34,-14616.140967081736,-989.6007968807571
sqmc,35,-14596.692305552559,-980.9741776961182
sqmc,36,-14610.167119260097,-972.4098887749242
sqmc,37,-14609.000938466179,-984.8298692718181
sqmc,38,-14643.708806414783,-1008.3324336687147
sqmc,39,-14688.412737732713,-983.0400060269931
sqmc,40,-14639.611410276359,-978.1163333455715
sqmc,41,-14595.150699639433,-981.2011478514432
sqmc,42,-14675.11341080923,-967.5955656913211
sqmc,43,-14590.8299748554,-980.6372585399295
sqmc,44,-14596.188585447953,-963.000260709221
sqmc,45,-14571.725318394938,-977.4101624786017
sqmc,46,-14531.30875477654,-988.143278749696
sqmc,47,-14616.719213865988,-978.5347032992686
sqmc,48,-14755.759471550276,-995.2662732908957
sqmc,49,-14670.524346790546,-959.9585717908358
sqmc,50,-14649.736986385904,-1005.4167978707083
